inclination_deg,alt_km,v_collision_km_s,corrected
55,400,10.8,
55,600,10.9,
55,800,10.9,
55,1000,11.6,
55,1200,10.9,
55,1400,10.8,
65,400,11.3,
65,600,11.5,
65,800,11.3,
65,1000,11.9,
65,1200,11.3,
65,1400,11.1,
75,400,12.2,
75,600,12.4,
75,800,12.3,
75,1000,12.8,
75,1200,12.1,
75,1400,11.9,
85,400,12.5,
85,600,12.7,
85,800,12.6,
85,1000,13.2,
85,1200,12.5,
85,1400,12.4,
95,400,13.1,
95,600,13.3,
95,800,13.2,
95,1000,13.0,
95,1200,12.4,
95,1400,12.2,
105,400,13.0,
105,600,13.2,
105,800,13.1,
105,1000,13.0,
105,1200,12.3,
105,1400,12.0,
