inclination_deg,j,alt_km,flux_m2_yr,corrected
55,1,200,0.000518,
55,1,400,0.00249,
55,1,600,0.00902,
55,1,800,0.0191,
55,1,1000,0.0274,
55,1,1200,0.0167,
55,1,1400,0.0167,
55,2,200,4.18e-05,
55,2,400,0.0002,
55,2,600,0.000739,
55,2,800,0.00158,
55,2,1000,0.00222,
55,2,1200,0.00134,
55,2,1400,0.00135,
55,3,200,8.85e-06,
55,3,400,4.23e-05,
55,3,600,0.000152,
55,3,800,0.000317,
55,3,1000,0.000425,
55,3,1200,0.000247,
55,3,1400,0.000238,
55,4,200,1.6e-06,
55,4,400,7.64e-06,
55,4,600,2.7e-05,
55,4,800,5.34e-05,
55,4,1000,6.85e-05,
55,4,1200,3.88e-05,
55,4,1400,3.69e-05,
55,5,200,3.78e-07,
55,5,400,1.81e-06,
55,5,600,6.18e-06,
55,5,800,1.13e-05,
55,5,1000,1.37e-05,
55,5,1200,7.53e-06,
55,5,1400,7.15e-06,
55,6,200,1.44e-07,
55,6,400,6.9e-07,
55,6,600,2.35e-06,
55,6,800,4.01e-06,
55,6,1000,4.63e-06,
55,6,1200,2.43e-06,
55,6,1400,2.31e-06,
55,7,200,5.39e-08,
55,7,400,2.57e-07,
55,7,600,8.54e-07,
55,7,800,1.35e-06,
55,7,1000,1.47e-06,
55,7,1200,7.23e-07,
55,7,1400,7.07e-07,
55,8,200,6.69e-08,
55,8,400,3.2e-07,
55,8,600,1.23e-06,
55,8,800,2.67e-06,
55,8,1000,3.08e-06,
55,8,1200,8.96e-07,
55,8,1400,1.26e-06,
65,1,200,0.000562,
65,1,400,0.00269,
65,1,600,0.00981,
65,1,800,0.021,
65,1,1000,0.0289,
65,1,1200,0.0175,
65,1,1400,0.0174,
65,2,200,4.52e-05,
65,2,400,0.000216,
65,2,600,0.000803,
65,2,800,0.00173,
65,2,1000,0.00235,
65,2,1200,0.0014,
65,2,1400,0.00141,
65,3,200,9.58e-06,
65,3,400,4.59e-05,
65,3,600,0.000165,
65,3,800,0.000348,
65,3,1000,0.000449,
65,3,1200,0.000259,
65,3,1400,0.000249,
65,4,200,1.73e-06,
65,4,400,8.29e-06,
65,4,600,2.94e-05,
65,4,800,5.87e-05,
65,4,1000,7.25e-05,
65,4,1200,4.06e-05,
65,4,1400,3.86e-05,
65,5,200,4.09e-07,
65,5,400,1.96e-06,
65,5,600,6.72e-06,
65,5,800,1.24e-05,
65,5,1000,1.45e-05,
65,5,1200,7.9e-06,
65,5,1400,7.48e-06,
65,6,200,1.56e-07,
65,6,400,7.48e-07,
65,6,600,2.56e-06,
65,6,800,4.41e-06,
65,6,1000,4.9e-06,
65,6,1200,2.55e-06,
65,6,1400,2.41e-06,
65,7,200,5.84e-08,
65,7,400,2.79e-07,
65,7,600,9.29e-07,
65,7,800,1.48e-06,
65,7,1000,1.56e-06,
65,7,1200,7.6e-07,
65,7,1400,7.39e-07,
65,8,200,7.25e-08,
65,8,400,3.47e-07,
65,8,600,1.34e-06,
65,8,800,2.95e-06,
65,8,1000,3.28e-06,
65,8,1200,9.45e-07,
65,8,1400,1.31e-06,
75,1,200,0.000687,
75,1,400,0.00329,
75,1,600,0.0119,
75,1,800,0.0262,
75,1,1000,0.0363,
75,1,1200,0.022,
75,1,1400,0.0235,
75,2,200,5.5e-05,
75,2,400,0.000263,
75,2,600,0.000977,
75,2,800,0.00217,
75,2,1000,0.00295,
75,2,1200,0.00176,
75,2,1400,0.0019,
75,3,200,1.17e-05,
75,3,400,5.6e-05,
75,3,600,0.000201,
75,3,800,0.000435,
75,3,1000,0.000564,
75,3,1200,0.000325,
75,3,1400,0.000336,
75,4,200,2.11e-06,
75,4,400,1.01e-05,
75,4,600,3.57e-05,
75,4,800,7.33e-05,
75,4,1000,9.11e-05,
75,4,1200,5.11e-05,
75,4,1400,5.24e-05,
75,5,200,5e-07,
75,5,400,2.39e-06,
75,5,600,8.18e-06,
75,5,800,1.55e-05,
75,5,1000,1.83e-05,
75,5,1200,9.94e-06,
75,5,1400,1.02e-05,
75,6,200,1.91e-07,
75,6,400,9.13e-07,
75,6,600,3.12e-06,
75,6,800,5.5e-06,
75,6,1000,6.17e-06,
75,6,1200,3.22e-06,
75,6,1400,3.34e-06,
75,7,200,7.13e-08,
75,7,400,3.41e-07,
75,7,600,1.13e-06,
75,7,800,1.85e-06,
75,7,1000,1.97e-06,
75,7,1200,9.64e-07,
75,7,1400,1.03e-06,
75,8,200,8.85e-08,
75,8,400,4.23e-07,
75,8,600,1.63e-06,
75,8,800,3.72e-06,
75,8,1000,4.19e-06,
75,8,1200,1.21e-06,
75,8,1400,1.91e-06,
85,1,200,0.000746,
85,1,400,0.00357,
85,1,600,0.013,
85,1,800,0.029,
85,1,1000,0.0418,
85,1,1200,0.0252,
85,1,1400,0.0247,
85,2,200,5.99e-05,
85,2,400,0.000286,
85,2,600,0.00106,
85,2,800,0.0024,
85,2,1000,0.0034,
85,2,1200,0.00203,
85,2,1400,0.00199,
85,3,200,1.27e-05,
85,3,400,6.08e-05,
85,3,600,0.000218,
85,3,800,0.00048,
85,3,1000,0.00065,
85,3,1200,0.000374,
85,3,1400,0.000352,
85,4,200,2.3e-06,
85,4,400,1.1e-05,
85,4,600,3.88e-05,
85,4,800,8.1e-05,
85,4,1000,0.000105,
85,4,1200,5.87e-05,
85,4,1400,5.46e-05,
85,5,200,5.43e-07,
85,5,400,2.6e-06,
85,5,600,8.88e-06,
85,5,800,1.72e-05,
85,5,1000,2.11e-05,
85,5,1200,1.14e-05,
85,5,1400,1.06e-05,
85,6,200,2.08e-07,
85,6,400,9.92e-07,
85,6,600,3.38e-06,
85,6,800,6.08e-06,
85,6,1000,7.12e-06,
85,6,1200,3.71e-06,
85,6,1400,3.4e-06,
85,7,200,7.75e-08,
85,7,400,3.7e-07,
85,7,600,1.23e-06,
85,7,800,2.04e-06,
85,7,1000,2.28e-06,
85,7,1200,1.11e-06,
85,7,1400,1.04e-06,
85,8,200,9.61e-08,
