table,j,K,year,alt_km,F_years,corrected
8.1,1,1.0,2000,200,1.0,
8.1,1,1.0,2000,400,1.0,
8.1,1,1.0,2000,600,1.0,
8.1,1,1.0,2000,800,1.0,
8.1,1,1.0,2000,1000,1.0,
8.1,1,1.0,2000,1200,1.0,
8.1,1,1.0,2000,1400,1.0,
8.1,1,1.0,2001,200,2.382,
8.1,1,1.0,2001,400,2.116,
8.1,1,1.0,2001,600,1.86,
8.1,1,1.0,2001,800,1.938,
8.1,1,1.0,2001,1000,1.985,
8.1,1,1.0,2001,1200,2.023,
8.1,1,1.0,2001,1400,2.012,
8.1,1,1.0,2002,200,3.571,
8.1,1,1.0,2002,400,3.12,
8.1,1,1.0,2002,600,2.706,
8.1,1,1.0,2002,800,2.883,
8.1,1,1.0,2002,1000,2.986,
8.1,1,1.0,2002,1200,3.068,
8.1,1,1.0,2002,1400,3.041,
8.1,1,1.0,2003,200,4.693,
8.1,1,1.0,2003,400,4.077,
8.1,1,1.0,2003,600,3.539,
8.1,1,1.0,2003,800,3.836,
8.1,1,1.0,2003,1000,4.003,
8.1,1,1.0,2003,1200,4.138,
8.1,1,1.0,2003,1400,4.089,
8.1,1,1.0,2004,200,5.972,
8.1,1,1.0,2004,400,5.151,
8.1,1,1.0,2004,600,4.416,
8.1,1,1.0,2004,800,4.819,
8.1,1,1.0,2004,1000,5.041,
8.1,1,1.0,2004,1200,5.228,
8.1,1,1.0,2004,1400,5.156,
8.1,1,1.0,2005,200,7.348,
8.1,1,1.0,2005,400,6.306,
8.1,1,1.0,2005,600,5.335,
8.1,1,1.0,2005,800,5.83,
8.1,1,1.0,2005,1000,6.103,
8.1,1,1.0,2005,1200,6.341,
8.1,1,1.0,2005,1400,6.242,
8.1,1,1.0,2006,200,8.784,
8.1,1,1.0,2006,400,7.517,
8.1,1,1.0,2006,600,6.297,
8.1,1,1.0,2006,800,6.87,
8.1,1,1.0,2006,1000,7.186,
8.1,1,1.0,2006,1200,7.475,
8.1,1,1.0,2006,1400,7.347,
8.1,1,1.0,2007,200,10.68,
8.1,1,1.0,2007,400,9.03,
8.1,1,1.0,2007,600,7.329,
8.1,1,1.0,2007,800,7.942,
8.1,1,1.0,2007,1000,8.294,
8.1,1,1.0,2007,1200,8.632,
8.1,1,1.0,2007,1400,8.473,
8.1,1,1.0,2008,200,12.993,
8.1,1,1.0,2008,400,10.823,
8.1,1,1.0,2008,600,8.431,
8.1,1,1.0,2008,800,9.046,
8.1,1,1.0,2008,1000,9.426,
8.1,1,1.0,2008,1200,9.81,
8.1,1,1.0,2008,1400,9.622,
8.1,1,1.0,2009,200,15.686,
8.1,1,1.0,2009,400,12.876,
8.1,1,1.0,2009,600,9.603,
8.1,1,1.0,2009,800,10.182,
8.1,1,1.0,2009,1000,10.583,
8.1,1,1.0,2009,1200,11.01,
8.1,1,1.0,2009,1400,10.792,
8.1,1,1.0,2010,200,17.932,
8.1,1,1.0,2010,400,14.697,
8.1,1,1.0,2010,600,10.804,
8.1,1,1.0,2010,800,11.346,
8.1,1,1.0,2010,1000,11.761,
8.1,1,1.0,2010,1200,12.231,
8.1,1,1.0,2010,1400,11.98,
8.1,1,1.0,2011,200,19.52,
8.1,1,1.0,2011,400,16.086,
8.1,1,1.0,2011,600,11.944,
8.1,1,1.0,2011,800,12.508,
8.1,1,1.0,2011,1000,12.953,
8.1,1,1.0,2011,1200,13.477,
8.1,1,1.0,2011,1400,13.186,
8.1,1,1.0,2012,200,21.116,
8.1,1,1.0,2012,400,17.366,
8.1,1,1.0,2012,600,12.915,
8.1,1,1.0,2012,800,13.596,
8.1,1,1.0,2012,1000,14.123,
8.1,1,1.0,2012,1200,14.746,
8.1,1,1.0,2012,1400,14.402,
8.1,1,1.0,2013,200,22.398,
8.1,1,1.0,2013,400,18.46,
8.1,1,1.0,2013,600,13.862,
8.1,1,1.0,2013,800,14.687,
8.1,1,1.0,2013,1000,15.308,
8.1,1,1.0,2013,1200,16.039,
8.1,1,1.0,2013,1400,15.634,
8.1,1,1.0,2014,200,23.567,
8.1,1,1.0,2014,400,19.477,
8.1,1,1.0,2014,600,14.788,
8.1,1,1.0,2014,800,15.784,
8.1,1,1.0,2014,1000,16.507,
8.1,1,1.0,2014,1200,17.356,
8.1,1,1.0,2014,1400,16.884,
8.1,1,1.0,2015,200,24.878,
8.1,1,1.0,2015,400,20.6,
8.1,1,1.0,2015,600,15.755,
