d_g_cm2,400,600,700 i 98,800,1000,1700,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000,36000 i 0-5
0.01,152000,665000,850000,1.94e+06,4.99e+06,5e+07,8.7e+07,1.58e+08,2.15e+08,2.99e+08,2.99e+08,2.37e+08,1.42e+08,7.45e+07,1.13e+08,1.81e+08,1.1e+08,1.06e+08
0.1,9500,42100,103000,122000,313000,3.33e+06,5.9e+06,1.11e+07,1.46e+07,1.81e+07,1.69e+07,1.36e+07,1.14e+07,1.28e+07,3.04e+07,4.6e+07,1.95e+07,1.64e+07
0.3,875,4000,18500,11600,29400,336000,615000,1.2e+06,1.4e+06,1.02e+06,488000,396000,940000,2.44e+06,7.5e+06,9.8e+06,2.55e+06,1.8e+06
0.5,228,1050,5650,3030,7650,88000,163000,319000,364000,232000,96000,97000,287000,795000,2.48e+06,2.7e+06,565000,369000
1,35.5,163,1070,471,1190,13800,25600,50500,56500,30600,10700,15000,57000,164000,515000,430000,67000,39400
1.5,4.36,19.6,114,56.5,144,1580,2840,5400,6650,5800,3760,4090,8350,19500,52000,40900,8650,6000
2,2.38,10.1,17.7,28.3,70.5,715,1260,2330,3090,3980,3860,3230,2430,2040,4090,5600,2310,2030
3,1.8,7.65,13.7,21.5,53.5,545,960,1780,2360,3020,2920,2440,1850,1590,3260,4440,1800,1570
10,0.665,2.86,5.9,8.1,20.4,211,373,690,910,1120,1060,870,690,700,1620,2160,805,675
