d_g_cm2,400,600,700 i 98,800,1000,1700,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000,36000 i 0-5
0.01,64700,284000,409000,827000,2.13e+06,2.15e+07,3.76e+07,6.87e+07,9.29e+07,1.27e+08,1.25e+08,9.95e+07,6.32e+07,3.83e+07,6.37e+07,1.01e+08,5.69e+07,5.34e+07
0.1,2870,12800,38100,37200,95100,1.03e+06,1.85e+06,3.51e+06,4.46e+06,4.8e+06,3.82e+06,3.08e+06,3.34e+06,4.83e+06,1.25e+07,1.8e+07,6.51e+06,5.2e+06
0.3,230,1060,5310,3050,7730,88600,163000,319000,368000,250000,112000,101000,271000,727000,2.25e+06,2.65e+06,615000,418000
0.5,57.8,266,1530,767,1940,22300,41300,81100,92100,56100,22300,25100,79700,222000,693000,685000,130000,82500
1,6,27.1,155,77.9,197,2210,4040,7830,9200,6610,3650,4070,9750,24300,71400,59300,10800,6960
1.5,1.68,7.26,19.3,20.5,51.5,535,947,1770,2290,2670,2370,2090,2070,2640,6120,6490,2060,1670
2,1.24,5.27,9.57,14.8,36.9,376,663,1230,1630,2080,2000,1670,1270,1110,2310,3140,1260,1100
3,0.9,3.84,7.26,10.8,27.1,277,489,906,1200,1510,1450,1200,928,850,1830,2470,968,832
10,0.333,1.44,3.13,4.08,10.3,107,190,351,462,561,527,429,346,374,908,1200,433,358
