d_g_cm2,400,600,800,1000,1700,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000
0.01,42400,93500,177000,296000,1.5e+06,2.63e+06,6.7e+06,1.81e+07,6.7e+07,1.66e+08,2.98e+08,5.5e+08,6.3e+08,1.6e+08,1.67e+06,990
0.1,2590,6350,13000,23600,174000,336000,1.14e+06,4.41e+06,1.4e+07,2e+07,1.72e+07,8.45e+06,2.56e+06,100000,0,0
0.3,705,1840,3720,6550,47700,90500,293000,1.07e+06,2.61e+06,2.6e+06,1.9e+06,685000,159000,3000,0,0
0.5,412,1090,2130,3590,24300,44900,133000,426000,885000,785000,540000,180000,36500,481,0,0
1,238,640,1230,1960,12600,22500,60000,166000,286000,205000,127000,33700,5550,48.1,0,0
1.5,178,488,925,1440,9000,15800,39700,99500,151000,93000,53500,11400,1640,9.75,0,0
2,148,410,780,1200,7500,13100,32300,78000,112000,63000,34000,6100,760,3.2,0,0
3,113,320,605,930,5700,9900,23700,53500,70000,35200,17000,2260,223,0.327,0,0
10,35.3,110,209,316,2020,3490,8250,17600,19000,7050,2750,156,4.55,0,0,0
