d_g_cm2,400,600,700,800,1000,1500,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000
0.01,23400,24200,24800,26300,27700,29200,32000,35100,35100,40400,44000,44000,54000,58000,65500,78000,103000
0.1,6600,6800,6950,7350,7650,8000,8700,9750,9750,11400,12400,12400,15100,16500,18600,21700,30600
0.3,2680,2780,2830,2980,3110,3250,3600,4040,4040,4680,5050,5050,6200,6800,7650,8900,12800
0.5,1500,1540,1580,1660,1730,1830,2040,2270,2270,2640,2850,2850,3480,3820,4300,5000,7200
1,590,610,620,660,695,735,820,915,915,1060,1140,1140,1400,1530,1720,2020,2920
1.5,343,355,362,387,408,432,483,535,535,620,665,665,820,895,1010,1190,1720
2,233,241,247,264,278,296,329,365,365,421,452,452,560,610,685,810,1170
3,134,139,143,153,162,172,191,211,211,243,261,261,324,354,396,475,680
10,24.9,26,26.8,28.6,30.1,31.8,35,39,39,44.4,48.2,48.2,60.5,65,73,91.5,123
