d_g_cm2,400,600,700,800,1000,1500,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000
0.01,13300,13800,14100,14900,15700,16500,18100,19900,19900,23000,25000,25000,30700,33100,37300,44300,59300
0.1,3300,3410,3480,3670,3820,4000,4380,4910,4910,5720,6200,6200,7580,8290,9340,10900,15500
0.3,1150,1190,1210,1280,1330,1400,1560,1740,1740,2020,2180,2180,2670,2930,3300,3840,5530
0.5,604,623,636,673,705,746,832,926,926,1080,1160,1160,1420,1550,1750,2040,2950
1,238,246,251,268,283,299,334,371,371,429,461,461,568,621,698,824,1190
1.5,138,142,146,156,165,175,195,216,216,249,267,267,331,361,405,481,692
2,92.8,96.2,98.9,106,112,119,132,146,146,168,180,180,224,244,274,328,468
3,52.9,55,56.6,60.5,64,67.8,75.1,83.2,83.2,95.4,103,103,128,139,156,190,266
10,9.83,10.3,10.6,11.3,11.9,12.5,13.8,15.4,15.4,17.4,19,19,23.9,25.6,28.7,36.5,48.1
