d_g_cm2,400,600,800,1000,1700,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000
0.01,262000,645000,1.4e+06,3e+06,2.64e+07,4.53e+07,8.15e+07,1.11e+08,1.56e+08,1.61e+08,1.31e+08,8.4e+07,5.05e+07,6.45e+07,9.15e+07,5.55e+07
0.1,38800,81000,153000,282000,1.95e+06,3.33e+06,6.15e+06,8.15e+06,1.05e+07,1.05e+07,9.2e+06,8.6e+06,9.4e+06,1.67e+07,2.3e+07,9.8e+06
0.3,8100,15600,27000,44500,232000,392000,740000,905000,835000,675000,720000,1.1e+06,1.81e+06,3.96e+06,4.85e+06,1.29e+06
0.5,2650,4970,8450,13600,65000,109000,204000,248000,218000,181000,205000,331000,565000,1.29e+06,1.34e+06,287000
1,545,995,1660,2590,11200,18300,34100,41100,34600,30200,37100,62500,111000,260000,215000,34200
1.5,59,108,180,286,1250,2020,3630,4630,5050,4970,5450,7850,12600,26600,20500,4380
2,6.55,14.3,27.8,53,397,680,1250,1660,2180,2220,1940,1600,1400,2220,2810,1170
3,5.1,11.1,21.6,41.1,305,520,955,1270,1660,1690,1470,1230,1100,1760,2230,910
10,2.27,4.79,9.1,17,121,206,379,500,635,635,555,490,494,870,1080,406
