d_g_cm2,400,600,800,1000,1700,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000
0.01,131000,312000,660000,1.37e+06,1.16e+07,1.99e+07,3.59e+07,4.86e+07,6.73e+07,6.91e+07,5.7e+07,3.91e+07,2.64e+07,3.61e+07,5.08e+07,2.87e+07
0.1,15100,30600,56300,100000,634000,1.08e+06,2.01e+06,2.6e+06,3.05e+06,2.88e+06,2.66e+06,2.86e+06,3.56e+06,6.78e+06,8.95e+06,3.28e+06
0.3,2420,4590,7860,12800,63500,107000,201000,245000,220000,181000,199000,313000,526000,1.18e+06,1.31e+06,312000
0.5,740,1370,2320,3690,17000,28300,52800,64100,55800,47300,55000,89800,155000,357000,341000,66300
1,78.3,144,242,383,1720,2810,5170,6400,6150,5690,6470,9770,16200,36300,29700,5490
1.5,8.26,16.6,30.3,53.7,331,556,1010,1330,1650,1660,1550,1560,1770,3220,3250,1040
2,3.57,7.75,15,28.5,211,360,661,878,1140,1160,1010,851,770,1250,1570,638
3,2.74,5.89,11.4,21.4,157,267,491,650,841,850,741,633,593,985,1240,489
10,1.22,2.54,4.78,8.87,62.1,106,195,256,322,320,280,252,266,487,599,218
