d_g_cm2,400,600,700,800,1000,1700,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000,36000
0.01,890,6100,89500,21200,58500,1.02e+06,2.22e+06,8.4e+06,2.93e+07,1.24e+08,3.19e+08,5.8e+08,1.07e+09,1.21e+09,2.98e+08,3.02e+06,1790,0
0.1,510,2900,7050,8500,20200,276000,595000,2.33e+06,8.85e+06,2.74e+07,3.84e+07,3.29e+07,1.58e+07,4.75e+06,185000,0,0,0
0.3,303,1440,2100,3610,7450,84000,177000,630000,2.15e+06,5.05e+06,4.96e+06,3.63e+06,1.28e+06,294000,5500,0,0,0
0.5,239,1040,1230,2380,4430,44100,89500,287000,855000,1.72e+06,1.5e+06,1.04e+06,337000,67000,875,0,0,0
1,179,715,725,1540,2610,23600,46500,132000,336000,550000,393000,244000,63000,10200,87,0,0,0
1.5,151,585,550,1220,1990,17200,33300,88000,203000,291000,179000,103000,21500,3010,17.7,0,0,0
2,132,510,466,1050,1690,14500,27900,72000,159000,215000,121000,65000,11400,1390,5.75,0,0,0
3,106,415,364,835,1330,11200,21400,53500,110000,135000,67000,32400,4220,408,0.585,0,0,0
10,36.9,154,126,300,464,4060,7800,18800,35900,36400,13300,5200,288,8.15,0,0,0,0
