d_g_cm2,400,600,700,800,1000,1700,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000,36000
0.01,592,3890,39700,13000,34800,576000,1.25e+06,4.76e+06,1.69e+07,6.71e+07,1.53e+08,2.43e+08,3.61e+08,3.41e+08,6.77e+07,1.73e+06,1020,0
0.1,301,1580,3130,4340,9730,123000,264000,995000,3.63e+06,1.02e+07,1.28e+07,1.05e+07,4.61e+06,1.29e+06,42100,0,0,0
0.3,181,797,986,1860,3530,36300,74400,245000,758000,1.6e+06,1.45e+06,1.03e+06,342000,72700,1150,0,0,0
0.5,145,597,638,1310,2300,21600,42900,128000,347000,624000,491000,323000,94200,17200,192,0,0,0
1,106,416,393,868,1420,12400,24000,64000,148000,216000,135000,78200,16900,2460,16.7,0,0,0
1.5,85.5,333,300,681,1090,9330,17900,45800,99100,130000,70900,37300,6290,759,3.27,0,0,0
2,71,280,246,564,897,7630,14600,36700,76400,94500,47300,23300,3220,327,0.914,0,0,0
3,51.9,208,178,413,651,5560,10600,26300,52600,60300,27000,12200,1250,91.8,0.235,0,0,0
10,18.1,77.1,61.5,148,227,2020,3880,9230,17200,16300,5360,1960,85.5,1.83,0,0,0,0
