d_g_cm2,400,600,800,1000,1500,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000,36000
0.01,182,198,370,468,690,1050,2690,2690,5050,6200,6700,16300,20700,29600,50500,90500,94000
0.1,169,184,339,404,535,690,1330,1330,2130,2490,2650,6050,7500,10600,16600,29100,37700
0.3,109,114,182,219,272,351,605,605,975,1150,1220,2740,3360,4650,7050,12300,15000
0.5,70,74,120,138,172,226,359,359,580,685,725,1620,1980,2690,4030,7000,8300
1,36,38.4,58.5,67,82,106,157,157,254,298,312,705,850,1130,1670,2850,3240
1.5,24.8,26.5,38,44.1,52.5,66.5,97,97,157,183,191,432,515,680,995,1690,1870
2,18.5,19.7,28.3,32.2,37.9,47.1,69,69,111,130,134,304,362,472,685,1150,1260
3,12,12.8,18.6,20.4,23.6,28.8,42.7,42.8,68,79,81.5,184,219,280,406,670,715
10,3.29,3.49,4.43,4.73,5.4,6.4,10.2,10.2,14.8,17.1,17.8,38.4,45.5,56,82.5,122,124
