d_g_cm2,400,600,800,1000,1500,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000,36000
0.01,136,148,275,343,493,721,1730,1730,3140,3810,4100,9840,12400,17700,29700,53000,57700
0.1,103,110,191,228,294,379,697,697,1120,1310,1390,3160,3900,5470,8450,14800,18700
0.3,53,55.9,89.1,104,129,168,273,273,441,520,550,1230,1510,2050,3090,5360,6390
0.5,33.1,35.1,54.7,62.8,77.3,100,154,154,248,292,307,691,837,1120,1670,2870,3330
1,17,18.1,26.5,30.3,36.2,45.8,67.4,67.4,109,127,132,299,358,470,689,1170,1300
1.5,11.3,12,17.2,19.4,22.8,28.3,41.6,41.7,66.6,77.7,80.4,182,216,281,408,681,740
2,8.33,8.87,12.6,14,16.3,19.9,29.6,29.7,46.8,54.5,56.3,127,151,193,281,461,494
3,5.39,5.74,7.96,8.66,9.97,12,18.3,18.3,28.3,32.8,33.9,75.4,89.6,113,165,263,276
10,1.48,1.56,1.9,2.01,2.28,2.68,4.37,4.37,6.15,7.09,7.4,15.7,18.6,22.6,33.5,47.9,47.9
