L,B_over_B0,E_0.16_MeV,E_0.35_MeV,E_0.6_MeV,E_0.9_MeV,E_1.5_MeV,E_2.5_MeV,E_3.5_MeV,E_4.5_MeV,E_5.5_MeV,E_6.5_MeV
1.2,1,1.7e+06,518000,49000,8240,1040,0,0,0,0,0
1.2,1.109,97300,28300,2580,433,54.6,0,0,0,0,0
1.2,1.137,35600,10300,937,157,19.9,0,0,0,0,0
1.2,1.164,12500,3340,301,50.6,0,0,0,0,0,0
1.2,1.192,3030,780,69.2,11.6,0,0,0,0,0,0
1.2,1.22,456,110,0,0,0,0,0,0,0,0
1.2,1.248,19.6,0,0,0,0,0,0,0,0,0
1.2,1.275,0,0,0,0,0,0,0,0,0,0
1.3,1,1.12e+08,1.94e+07,2.72e+06,479000,86500,11800,1680,0,0,0
1.3,1.128,7.2e+07,1.25e+07,1.74e+06,306000,55400,7540,1080,0,0,0
1.3,1.269,1.96e+07,3.24e+06,447000,78700,14200,1940,277,0,0,0
1.3,1.41,2.56e+06,390000,53500,9420,1700,232,0,0,0,0
1.3,1.445,1.33e+06,198000,27700,4880,881,120,0,0,0,0
1.3,1.48,625000,90100,12600,2220,402,54.7,0,0,0,0
1.3,1.516,231000,34500,4840,851,154,21,0,0,0,0
1.3,1.551,67900,10100,1410,248,44.8,0,0,0,0,0
1.3,1.586,16100,2590,363,63.8,11.5,0,0,0,0,0
1.3,1.621,167,50.7,0,0,0,0,0,0,0,0
1.3,1.657,0,0,0,0,0,0,0,0,0,0
1.4,1,3.11e+08,4.2e+07,6.99e+06,2.2e+06,505000,87500,7440,0,0,0
1.4,1.057,2.85e+08,3.85e+07,6.4e+06,2.01e+06,463000,80100,6820,0,0,0
1.4,1.233,2.18e+08,2.93e+07,4.88e+06,1.53e+06,353000,61000,5190,0,0,0
1.4,1.409,1.52e+08,1.98e+07,3.27e+06,1.03e+06,236000,40900,3480,0,0,0
1.4,1.585,6.06e+07,7.52e+06,1.21e+06,381000,87600,15200,1290,0,0,0
1.4,1.761,1.88e+07,2.18e+06,343000,108000,24800,4300,365,0,0,0
1.4,1.805,1.28e+07,1.49e+06,234000,73700,17000,2930,250,0,0,0
1.4,1.849,8.49e+06,965000,151000,47300,10900,1880,160,0,0,0
1.4,1.893,5.28e+06,586000,91000,28600,6580,1140,0,0,0,0
1.4,1.937,2.91e+06,322000,49800,15600,3600,623,0,0,0,0
1.4,1.981,1.36e+06,151000,22900,7210,1660,287,0,0,0,0
1.4,2.025,452000,51400,7400,2330,535,92.6,0,0,0,0
1.4,2.069,56500,7290,894,281,64.7,0,0,0,0,0
1.4,2.113,0,0,0,0,0,0,0,0,0,0
1.5,1,3.79e+08,5.44e+07,9.78e+06,3.16e+06,690000,159000,10900,0,0,0
1.5,1.083,3.3e+08,4.68e+07,8.37e+06,2.71e+06,591000,136000,9340,0,0,0
1.5,1.3,2.29e+08,3.13e+07,5.54e+06,1.79e+06,391000,90100,6180,0,0,0
1.5,1.516,1.45e+08,1.78e+07,3.05e+06,987000,215000,49600,3410,0,0,0
1.5,1.733,8.66e+07,9.97e+06,1.67e+06,539000,118000,27100,1860,0,0,0
1.5,1.949,4.93e+07,5.33e+06,870000,282000,61400,14200,972,0,0,0
