L,B_over_B0,E_0.2_MeV,E_0.6_MeV,E_1.25_MeV,E_3_MeV,E_5_MeV,E_12.5_MeV,E_30_MeV,E_50_MeV,E_125_MeV,E_300_MeV
1.14,1,379,58.8,8.55,1,0.497,0.556,0.524,0.14,0.0132,0.0123
1.14,1.014,168,25.5,3.66,0.423,0.207,0.229,0.213,0.0565,0.0123,0.0123
1.14,1.023,85.4,12.7,1.8,0.206,0.1,0.109,0.1,0.0264,0.0123,0.0123
1.14,1.033,35.8,5.21,0.726,0.0815,0.0393,0.042,0.0381,0.0123,0.0123,0.0123
1.14,1.037,20.5,2.94,0.406,0.0451,0.0216,0.0229,0.0206,0.0123,0.0123,0.0123
1.14,1.042,10.2,1.44,0.196,0.0215,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123
1.14,1.047,3.99,0.546,0.0732,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123
1.14,1.051,0.879,0.115,0.0151,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123,0.0123
1.16,1,3010,469,68.4,8.06,3.99,4.48,4.23,1.13,0.106,0.0196
1.16,1.018,1670,257,37.2,4.35,2.15,2.39,2.25,0.6,0.0561,0.0196
1.16,1.035,831,127,18.2,2.12,1.04,1.15,1.07,0.285,0.0264,0.0196
1.16,1.053,353,53.1,7.56,0.869,0.424,0.464,0.429,0.114,0.0196,0.0196
1.16,1.062,209,31.2,4.41,0.504,0.245,0.267,0.245,0.0647,0.0196,0.0196
1.16,1.071,112,16.5,2.32,0.263,0.127,0.138,0.126,0.0331,0.0196,0.0196
1.16,1.08,50.7,7.39,1.03,0.116,0.0559,0.0599,0.0543,0.0196,0.0196,0.0196
1.16,1.089,16.7,2.4,0.332,0.0368,0.0196,0.0196,0.0196,0.0196,0.0196,0.0196
1.18,1,19100,2990,436,51.5,25.6,28.7,27.2,7.29,0.686,0.0966
1.18,1.027,9730,1510,220,25.9,12.8,14.3,13.5,3.62,0.34,0.0477
1.18,1.055,4430,685,99.2,11.6,5.74,6.39,6.01,1.6,0.15,0.021
1.18,1.068,2810,433,62.6,7.32,3.61,4.01,3.76,1,0.0936,0.0196
1.18,1.095,938,143,20.6,2.39,1.18,1.3,1.21,0.322,0.0299,0.0196
1.18,1.109,467,70.9,10.2,1.17,0.576,0.634,0.59,0.157,0.0196,0.0196
1.18,1.123,194,29.3,4.18,0.481,0.235,0.258,0.239,0.0633,0.0196,0.0196
1.18,1.136,57.3,8.58,1.22,0.139,0.0679,0.0739,0.0681,0.0196,0.0196,0.0196
1.2,1,109000,17000,2490,294,146,165,156,41.9,3.95,0.556
