E_MeV,400,600,700,800,1000,1700,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000,36000
0.1,2.71e+08,1.86e+09,2.37e+13,7.87e+09,2.49e+10,1.22e+12,3.4e+12,1.89e+13,8.04e+13,4.86e+14,2.52e+15,9.48e+15,4.14e+16,1.04e+17,1.58e+17,7.71e+16,2.15e+16,1.8e+16
0.126,2.7e+08,1.85e+09,1.87e+13,7.83e+09,2.48e+10,1.17e+12,3.27e+12,1.81e+13,7.62e+13,4.58e+14,2.32e+15,8.55e+15,3.74e+16,9.29e+16,1.38e+17,6.27e+16,1.51e+16,1.21e+16
0.158,2.69e+08,1.85e+09,1.4e+13,7.78e+09,2.46e+10,1.13e+12,3.12e+12,1.71e+13,7.14e+13,4.25e+14,2.09e+15,7.55e+15,3.29e+16,8.12e+16,1.16e+17,4.86e+16,9.8e+15,7.39e+15
0.199,2.13e+08,1.52e+09,8.61e+12,6.87e+09,2.53e+10,9.04e+11,2.47e+12,1.42e+13,6.24e+13,3.85e+14,1.71e+15,5.58e+15,2.31e+16,5.71e+16,8.48e+16,3.33e+16,4.93e+15,3.17e+15
0.251,2.12e+08,1.51e+09,6.09e+12,6.8e+09,2.49e+10,8.61e+11,2.34e+12,1.32e+13,5.65e+13,3.41e+14,1.48e+15,4.8e+15,1.98e+16,4.81e+16,6.75e+16,2.34e+16,2.89e+15,1.8e+15
0.316,2.11e+08,1.5e+09,4.02e+12,6.72e+09,2.45e+10,8.13e+11,2.18e+12,1.2e+13,5.01e+13,2.95e+14,1.25e+15,4.03e+15,1.64e+16,3.91e+16,5.11e+16,1.52e+16,1.5e+15,8.88e+14
0.398,2.45e+08,1.7e+09,2.15e+12,6.78e+09,2.35e+10,7.01e+11,1.81e+12,9.41e+12,3.79e+13,2.23e+14,8.7e+14,2.84e+15,1.16e+16,2.72e+16,3.44e+16,9.04e+15,6.62e+14,3.52e+14
0.501,2.46e+08,1.67e+09,1.29e+12,6.71e+09,2.3e+10,6.43e+11,1.64e+12,8.18e+12,3.21e+13,1.81e+14,6.92e+14,2.23e+15,8.92e+15,2.03e+16,2.28e+16,4.7e+15,2.37e+14,1.26e+14
0.631,2.49e+08,1.63e+09,6.96e+11,6.67e+09,2.25e+10,5.58e+11,1.4e+12,6.56e+12,2.55e+13,1.37e+14,5.12e+14,1.61e+15,6.37e+15,1.4e+16,1.37e+16,2.11e+15,6.65e+13,3.45e+13
0.794,2.03e+08,1.4e+09,3.78e+11,5.41e+09,1.77e+10,4.87e+11,1.21e+12,5.53e+12,2.01e+13,1.04e+14,3.88e+14,1.19e+15,4.49e+15,9.58e+15,7.52e+15,8.87e+14,1.44e+13,6.6e+12
1,1.51e+08,1.31e+09,1.91e+11,5.07e+09,1.6e+10,4.29e+11,1.03e+12,4.45e+12,1.56e+13,7.71e+13,2.7e+14,7.91e+14,2.89e+15,5.79e+15,3.7e+15,2.54e+14,2.11e+12,8.43e+11
1.25,1.49e+08,1.27e+09,1.25e+11,4.91e+09,1.53e+10,3.87e+11,9.16e+11,3.81e+12,1.3e+13,6.27e+13,2.15e+14,5.97e+14,1.95e+15,3.44e+15,1.66e+15,6.57e+13,2.29e+11,6.47e+10
1.58,1.46e+08,1.24e+09,7.8e+10,4.7e+09,1.45e+10,3.42e+11,7.93e+11,3.18e+12,1.06e+13,5.03e+13,1.67e+14,4.33e+14,1.22e+15,1.81e+15,6.33e+14,1.23e+13,1.51e+10,2.28e+09
1.99,1.42e+08,1.19e+09,3.91e+10,4.77e+09,1.45e+10,2.99e+11,6.55e+11,2.46e+12,8.09e+12,3.94e+13,1.21e+14,2.54e+14,5.3e+14,6.44e+14,1.63e+14,1.37e+12,5.08e+08,0
2.51,1.38e+08,1.14e+09,2.7e+10,4.47e+09,1.33e+10,2.57e+11,5.55e+11,2.05e+12,6.84e+12,3.3e+13,9.62e+13,1.85e+14,3.27e+14,3.27e+14,6.04e+13,2.32e+11,2.42e+06,0
3.16,1.34e+08,1.08e+09,1.78e+10,4.12e+09,1.2e+10,2.14e+11,4.58e+11,1.67e+12,5.67e+12,2.69e+13,7.37e+13,1.26e+14,1.82e+14,1.43e+14,1.81e+13,2.58e+10,0,0
3.98,1.4e+08,1.08e+09,9.58e+09,4.06e+09,1.19e+10,2.03e+11,4.27e+11,1.64e+12,5.92e+12,2.44e+13,5.58e+13,7.78e+13,7.66e+13,4.15e+13,3.4e+12,1.47e+09,0,0
5.01,1.33e+08,9.93e+08,6.23e+09,3.58e+09,1.01e+10,1.62e+11,3.44e+11,1.33e+12,4.9e+12,1.9e+13,3.86e+13,4.64e+13,3.63e+13,1.61e+13,9.9e+11,1.24e+08,0,0
6.31,1.22e+08,9.12e+08,3.71e+09,3.11e+09,8.45e+09,1.29e+11,2.8e+11,1.1e+12,4.19e+12,1.48e+13,2.5e+13,2.43e+13,1.4e+13,4.92e+12,2.23e+11,31400,0,0
7.94,1.1e+08,7.24e+08,2.15e+09,2.38e+09,5.86e+09,8.44e+10,1.84e+11,7.45e+11,2.93e+12,9.52e+12,1.37e+13,1.13e+13,5.24e+12,1.43e+12,5.46e+10,0,0,0
10,7.45e+07,4.53e+08,1.1e+09,1.38e+09,3.46e+09,4.91e+10,1.08e+11,4.47e+11,1.81e+12,5.26e+12,6.07e+12,4.83e+12,1.89e+12,5.04e+11,1.35e+10,0,0,0
12.6,6.45e+07,3.73e+08,7.44e+08,1.09e+09,2.59e+09,3.35e+10,7.23e+10,2.82e+11,1.05e+12,2.7e+12,2.82e+12,2.12e+12,7.75e+11,1.87e+11,3.86e+09,0,0,0
15.8,5.04e+07,2.71e+08,4.32e+08,7.15e+08,1.58e+09,1.82e+10,3.84e+10,1.39e+11,4.72e+11,1.07e+12,1.02e+12,7.29e+11,2.48e+11,5.36e+10,8.36e+08,0,0,0
19.9,3.42e+07,1.56e+08,2.17e+08,3.83e+08,7.49e+08,7.8e+09,1.61e+10,5.42e+10,1.71e+11,3.62e+11,3.3e+11,2.34e+11,8.07e+10,1.56e+10,1.79e+08,0,0,0
25.1,3.05e+07,1.32e+08,1.62e+08,3.12e+08,5.85e+08,5.8e+09,1.18e+10,3.78e+10,1.11e+11,2.1e+11,1.69e+11,1.1e+11,3.13e+10,5.33e+09,5.05e+07,0,0,0
31.6,2.69e+07,1.01e+08,1.07e+08,2.22e+08,3.75e+08,3.33e+09,6.54e+09,1.87e+10,4.82e+10,7.94e+10,5.6e+10,3.53e+10,8.79e+09,1.35e+09,9.02e+06,0,0,0
39.8,2.3e+07,8.76e+07,8.79e+07,1.9e+08,3.17e+08,2.81e+09,5.5e+09,1.54e+10,3.83e+10,5.89e+10,3.72e+10,2.11e+10,4.02e+09,4.97e+08,2.1e+06,0,0,0
50.1,2.06e+07,7.8e+07,7.06e+07,1.58e+08,2.52e+08,2.04e+09,3.88e+09,9.83e+09,2.1e+10,2.81e+10,1.51e+10,7.63e+09,1.09e+09,1.08e+08,109000,0,0,0
63.1,1.75e+07,6.61e+07,5.8e+07,1.34e+08,2.15e+08,1.74e+09,3.32e+09,8.03e+09,1.56e+10,1.87e+10,9.06e+09,4.17e+09,4.53e+08,3.8e+07,0,0,0,0
79.4,1.34e+07,5.18e+07,4.39e+07,1.03e+08,1.63e+08,1.33e+09,2.54e+09,6.02e+09,1.13e+10,1.25e+10,5.38e+09,2.29e+09,1.87e+08,1.1e+07,0,0,0,0
100,9.32e+06,3.68e+07,3e+07,7.08e+07,1.08e+08,9.06e+08,1.72e+09,4.12e+09,7.84e+09,8.13e+09,3.08e+09,1.23e+09,7.55e+07,2.69e+06,0,0,0,0
