E_MeV,400,600,800,1000,1700,2000,2500,3000,4000,5000,6000,8000,10000,15000,20000,30000
0.1,9.48e+12,2.71e+13,5.35e+13,9.24e+13,4.6e+14,8.19e+14,1.61e+15,2.54e+15,4.6e+15,7.1e+15,1.15e+16,2.81e+16,5.73e+16,8.19e+16,3.9e+16,1.11e+16
0.126,7.61e+12,2.16e+13,4.24e+13,7.3e+13,3.61e+14,6.41e+14,1.27e+15,2.01e+15,3.67e+15,5.78e+15,9.63e+15,2.45e+16,5.07e+16,7.11e+16,3.18e+16,7.83e+15
0.158,5.82e+12,1.63e+13,3.2e+13,5.47e+13,2.69e+14,4.76e+14,9.48e+14,1.51e+15,2.79e+15,4.53e+15,7.79e+15,2.07e+16,4.36e+16,5.98e+16,2.47e+16,5.08e+15
0.199,3.69e+12,1.01e+13,1.99e+13,3.35e+13,1.66e+14,2.93e+14,5.88e+14,9.49e+14,1.79e+15,3.03e+15,5.29e+15,1.42e+16,3.02e+16,4.35e+16,1.7e+16,2.57e+15
0.251,2.65e+12,7.17e+12,1.41e+13,2.37e+13,1.17e+14,2.05e+14,4.15e+14,6.76e+14,1.3e+15,2.28e+15,4.17e+15,1.17e+16,2.51e+16,3.46e+16,1.2e+16,1.51e+15
0.316,1.79e+12,4.75e+12,9.32e+12,1.57e+13,7.69e+13,1.35e+14,2.74e+14,4.51e+14,8.97e+14,1.65e+15,3.18e+15,9.36e+15,2.02e+16,2.62e+16,7.84e+15,7.85e+14
0.398,9.68e+11,2.53e+12,5.01e+12,8.42e+12,4.11e+13,7.17e+13,1.48e+14,2.49e+14,5.22e+14,1e+15,2.06e+15,6.4e+15,1.39e+16,1.77e+16,4.7e+15,3.49e+14
0.501,5.97e+11,1.52e+12,2.98e+12,4.99e+12,2.44e+13,4.22e+13,8.76e+13,1.51e+14,3.32e+14,6.78e+14,1.49e+15,4.8e+15,1.03e+16,1.18e+16,2.47e+15,1.26e+14
0.631,3.31e+11,8.18e+11,1.58e+12,2.63e+12,1.29e+13,2.22e+13,4.65e+13,8.26e+13,1.94e+14,4.3e+14,9.96e+14,3.35e+15,7.09e+15,7.09e+15,1.12e+15,3.55e+13
0.794,1.82e+11,4.41e+11,8.42e+11,1.41e+12,6.83e+12,1.17e+13,2.49e+13,4.55e+13,1.16e+14,2.82e+14,6.83e+14,2.31e+15,4.87e+15,3.93e+15,4.76e+14,7.75e+12
1,9.2e+10,2.17e+11,4.18e+11,7.03e+11,3.43e+12,5.86e+12,1.28e+13,2.47e+13,6.83e+13,1.75e+14,4.33e+14,1.47e+15,2.96e+15,1.94e+15,1.38e+14,1.15e+12
1.25,6.12e+10,1.4e+11,2.67e+11,4.47e+11,2.14e+12,3.64e+12,7.99e+12,1.6e+13,4.73e+13,1.28e+14,3.16e+14,9.95e+14,1.77e+15,8.79e+14,3.58e+13,1.25e+11
1.58,3.86e+10,8.62e+10,1.63e+11,2.71e+11,1.28e+12,2.17e+12,4.86e+12,1.02e+13,3.28e+13,9.26e+13,2.23e+14,6.22e+14,9.41e+14,3.36e+14,6.75e+12,8.34e+09
1.99,1.89e+10,4.15e+10,7.82e+10,1.29e+11,6.12e+11,1.05e+12,2.48e+12,5.78e+12,2.21e+13,6.32e+13,1.3e+14,2.74e+14,3.38e+14,8.74e+13,7.56e+11,2.83e+08
2.51,1.3e+10,2.83e+10,5.32e+10,8.78e+10,4.23e+11,7.33e+11,1.78e+12,4.42e+12,1.77e+13,4.96e+13,9.4e+13,1.7e+14,1.73e+14,3.24e+13,1.28e+11,1.36e+06
3.16,8.45e+09,1.83e+10,3.43e+10,5.69e+10,2.84e+11,4.96e+11,1.26e+12,3.36e+12,1.4e+13,3.77e+13,6.44e+13,9.53e+13,7.57e+13,9.74e+12,1.42e+10,0
3.98,4.32e+09,9.43e+09,1.81e+10,3.12e+10,1.83e+11,3.33e+11,9.78e+11,3.12e+12,1.23e+13,2.84e+13,4.01e+13,4.05e+13,2.23e+13,1.83e+12,8.1e+08,0
5.01,2.69e+09,6e+09,1.17e+10,2.05e+10,1.3e+11,2.4e+11,7.38e+11,2.51e+12,9.57e+12,1.98e+13,2.4e+13,1.93e+13,8.66e+12,5.35e+11,6.96e+07,0
6.31,1.46e+09,3.42e+09,6.9e+09,1.26e+10,8.97e+10,1.72e+11,5.66e+11,2.1e+12,7.51e+12,1.29e+13,1.27e+13,7.44e+12,2.65e+12,1.21e+11,18900,0
7.94,7.96e+08,1.93e+09,4e+09,7.37e+09,5.42e+10,1.06e+11,3.67e+11,1.46e+12,4.86e+12,7.14e+12,5.93e+12,2.8e+12,7.71e+11,2.97e+10,0,0
10,3.94e+08,9.72e+08,2.01e+09,3.75e+09,2.97e+10,5.83e+10,2.12e+11,9.04e+11,2.72e+12,3.18e+12,2.53e+12,1.01e+12,2.73e+11,7.38e+09,0,0
12.6,2.55e+08,6.48e+08,1.36e+09,2.52e+09,1.95e+10,3.8e+10,1.32e+11,5.23e+11,1.4e+12,1.48e+12,1.11e+12,4.15e+11,1.01e+11,2.11e+09,0,0
15.8,1.43e+08,3.75e+08,7.73e+08,1.41e+09,1.03e+10,1.97e+10,6.47e+10,2.36e+11,5.52e+11,5.33e+11,3.81e+11,1.33e+11,2.91e+10,4.57e+08,0,0
19.9,7.76e+07,1.94e+08,3.77e+08,6.48e+08,4.45e+09,8.31e+09,2.54e+10,8.54e+10,1.87e+11,1.73e+11,1.22e+11,4.31e+10,8.51e+09,9.82e+07,0,0
25.1,5.59e+07,1.44e+08,2.79e+08,4.73e+08,3.21e+09,5.94e+09,1.75e+10,5.53e+10,1.09e+11,8.8e+10,5.73e+10,1.67e+10,2.9e+09,2.78e+07,0,0
31.6,3.72e+07,9.58e+07,1.82e+08,2.86e+08,1.8e+09,3.22e+09,8.55e+09,2.39e+10,4.1e+10,2.9e+10,1.83e+10,4.68e+09,7.36e+08,4.99e+06,0,0
